SKU,Localized For,Title,Product Description,Condition,List Price,Picture URL 1,Picture URL 2,Picture URL 3,Picture URL 4,Picture URL 5,Picture URL 6,Picture URL 7,Picture URL 8,Picture URL 9,Picture URL 10,Attribute Name 1,Attribute Value 1,Attribute Name 2,Attribute Value 2,Attribute Name 3,Attribute Value 3,Attribute Name 4,Attribute Value 4,Attribute Name 5,Attribute Value 5,Attribute Name 6,Attribute Value 6,Attribute Name 7,Attribute Value 7,Attribute Name 8,Attribute Value 8,Attribute Name 9,Attribute Value 9,Attribute Name 10,Attribute Value 10,Attribute Name 11,Attribute Value 11,Attribute Name 12,Attribute Value 12,Attribute Name 13,Attribute Value 13,Attribute Name 14,Attribute Value 14,Attribute Name 15,Attribute Value 15,Attribute Name 16,Attribute Value 16,Attribute Name 17,Attribute Value 17,Attribute Name 18,Attribute Value 18,Attribute Name 19,Attribute Value 19
216407827,en_US,Складной нож CRKT Columbia River R2401 Windage,"",NEW,4350.0,https://static-ru.insales.ru/images/products/1/6506/377321834/4c87409cd14fbb7fe16f6bce0568c112-700x700.jpg,https://static-ru.insales.ru/images/products/1/6510/377321838/7d788b2dd829d3a0d9fa083d6b63225f-700x700.jpg,https://static-ru.insales.ru/images/products/1/6515/377321843/67851af5ede369bc67a61a92ae27f9ff-700x700.jpg,"","","","","","","",Производитель,CRKT,Длина клинка,96 мм,Материал рукояти,Алюминий 6061,Общая длина,224 мм,Толщина клинка,"3,6 мм",Обработка клинка,Stonewash,Фиксатор клинка,замок Liner-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407778,en_US,"Складной нож CRKT Columbia River R1205 Crack-Shot, полуавтомат","",NEW,3150.0,https://static-ru.insales.ru/images/products/1/6421/377321749/4b6a9e6336fdd889c60a9755c04c479f-700x700.jpg,https://static-ru.insales.ru/images/products/1/6424/377321752/427f633080be1b4a5445ea40441f2ac0-700x700.jpg,https://static-ru.insales.ru/images/products/1/6428/377321756/3c44c7dac055f64c0c18320503f8ed0b-700x700.jpg,"","","","","","","",Производитель,CRKT,Длина клинка,79 мм,Материал рукояти,Glass Reinforced Nylon,Общая длина,186 мм,Толщина клинка,"2,7 мм",Обработка клинка,Stonewash,Фиксатор клинка,замок Liner-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407874,en_US,"Нож складной садовый Victorinox 3.9050.47B1 Floral, салатовый","",NEW,1470.0,https://static-ru.insales.ru/images/products/1/6604/377321932/0965ebe426bc0994cc02b3478d27815f-700x700.jpg,"","","","","","","","","",Производитель,Victorinox,Длина клинка,55 мм,Материал рукояти,Полиамид (PA),Общая длина,155 мм,Толщина клинка,"2,0 мм",Обработка клинка,Полировка,Фиксатор клинка,замок Slip-Joint,,,,,,,,,,,,,,,,,,,,,,,,
216407914,en_US,"Складной нож BUCK 0112RDS2 112 Slim Select Red, красная рукоять","",NEW,3000.0,https://static-ru.insales.ru/images/products/1/6679/377322007/3386347823d7748f9b7218236712a1d4-700x700.jpg,https://static-ru.insales.ru/images/products/1/6685/377322013/a909ed28f6a6cd54f06e14d059464a8c-700x700.jpg,"","","","","","","","",Производитель,Buck,Длина клинка,76 мм,Материал рукояти,Нейлон,Общая длина,184 мм,Толщина клинка,"3,0 мм",Обработка клинка,Stonewash,Фиксатор клинка,замок Back-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407466,en_US,"Туристический складной SOG, FF-30 Fielder","<p><span style=""font-size: 12pt;"">Общая длина (мм): 198</span><br /><span style=""font-size: 12pt;"">Длина клинка (мм): 84</span><br /><span style=""font-size: 12pt;"">Толщина обуха (мм): 2,2</span><br /><span style=""font-size: 12pt;"">Марка стали: 7Cr13</span><br /><span style=""font-size: 12pt;"">Тип обработки клинка: Satin finish</span><br /><span style=""font-size: 12pt;"">Длина рукояти (мм): 104</span><br /><span style=""font-size: 12pt;"">Материал рукояти: Дерево</span><br /><span style=""font-size: 12pt;"">Тип замка: Liner-Lock</span><br /><span style=""font-size: 12pt;"">Вес (гр): 125</span><br /><span style=""font-size: 12pt;"">Материал клипсы: Сталь</span><br /><span style=""font-size: 12pt;"">Компания производитель: SOG Specialty Knives&amp;Tools (USA)</span><br /><span style=""font-size: 12pt;"">Страна изготовитель: Китай</span></p>",NEW,1650.0,https://static-ru.insales.ru/images/products/1/5777/377321105/ab57a9c681805d7aafaf875fb95fcf96-700x700.jpg,https://static-ru.insales.ru/images/products/1/5780/377321108/5b4ab7d8a02e05d8f0aa7f08337ded43-700x700.jpg,https://static-ru.insales.ru/images/products/1/5785/377321113/38d96b88acabaf3a572b9847408a60e8-700x700.jpg,"","","","","","","",Производитель,SOG,Твердость стали по HRC,59,Твёрдость,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216407433,en_US,Складной нож CRKT Columbia River M16-03S Classic,"",NEW,7500.0,https://static-ru.insales.ru/images/products/1/5702/377321030/10bdb951e54b397b9f8d37351334dacc-700x700.jpg,https://static-ru.insales.ru/images/products/1/5708/377321036/53c1d1c035772753986c36483cb0bfb0-700x700.jpg,"","","","","","","","",Производитель,CRKT,Длина клинка,88 мм,Материал рукояти,Алюминий 6061,Общая длина,210 мм,Толщина клинка,"3,1 мм",Обработка клинка,Bead Blast,Фиксатор клинка,замок Liner-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407457,en_US,Полуавтоматический нож Benchmade модель 477-1 Osborne,"",NEW,21920.0,https://static-ru.insales.ru/images/products/1/5766/377321094/575fe6a880538f92a2a3fb4b9503181c-700x700.jpg,https://static-ru.insales.ru/images/products/1/5770/377321098/950dfab436202ffd37c1fd138c9749fa-700x700.jpg,"","","","","","","","",Твердость стали по HRC,58-60,Длина клинка,88 мм,Марка стали,CPM-S30V,Материал рукояти,Алюминий,Общая длина,203 мм,Толщина клинка,"2,5 мм",Длина в закрытом состоянии,116 мм,Фирма производитель,Benchmade,Страна,США,Вес,112 гр,Обработка клинка,Satin finish,Фиксатор клинка,замок Axis-Lock (Аксис-Лок),Дизайн,Warren Osborne (Уоррен Осборн),Твёрдость,58-60 HRC,,,,,,,,,,
216407724,en_US,Раскладной нож Boker 01BO321 Savior 2,"<p><span>Производитель: Boker ГерманияСтрана изготовитель: Китай<br />Общая длина: 21,1 см.<br />Длина лезвия: 8,5 см.<br />Вес: 159 гр.<br />Материал лезвия: 12C27<br />Материал рукояти: GFK стекловолокно/резина<br /></span><span>Особенность: комбинированная заточка прямая/серрейторная, стропорез, стеклобой</span></p>",NEW,4080.0,https://static-ru.insales.ru/images/products/1/6331/377321659/e3084bfc78ef56d73eee8fd4c0c0f574-700x700.jpg,https://static-ru.insales.ru/images/products/1/6337/377321665/20e7f6ca75f6d01c2abda161195e2a14-700x700.jpg,https://static-ru.insales.ru/images/products/1/6343/377321671/5024f5676570bbcb2570db06a5da8daa-700x700.jpg,"","","","","","","",Производитель,Boker,Длина клинка,85 мм,Материал рукояти,Fiberglass Reinforced Nylon,Общая длина,211 мм,Толщина клинка,"3,3 мм",Фирма производитель,Boker Plus,Вес,159 гр,Обработка клинка,Black finish,Фиксатор клинка,замок Liner-Lock,Дизайн,Boris Manasherov,,,,,,,,,,,,,,,,,,
216407603,en_US,Складной нож Boker Plus 01BO892 Nori Cocobolo,"",NEW,6810.0,https://static-ru.insales.ru/images/products/1/6073/377321401/f9333bb91cb4ae7f1f00eaab4b6fe9fc-700x700.jpg,https://static-ru.insales.ru/images/products/1/6078/377321406/2697580efd2dd623be011a846a24267c-700x700.jpg,"","","","","","","","",Производитель,Boker,Длина клинка,80 мм,Материал рукояти,Дерево Кокоболо,Общая длина,180 мм,Толщина клинка,"1,8 мм",Обработка клинка,Satin finish,Фиксатор клинка,замок Liner-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407833,en_US,Нож Boker 01bo778 Lateralus G-10,"<font>Производитель: Boker Германия Страна изготовитель: Китай <br>Дизайнер: Jason Stout<br>Общая длина: 20,1 см.<br>Длина клинка: 9,2 см.<br>Толщина клинка: 3,5 мм.<br>Вес: 138 гр.<br>Материал клинка: D2<br>Материал рукояти: G-10<br>Способ открытия: ручное за флиппер<br>Тип замка: Frame Lock<br>Цвет: серый</font><br>",NEW,6420.0,https://static-ru.insales.ru/images/products/1/6524/377321852/780510fe2d6b4842e601df40e4adc243-700x700.jpg,https://static-ru.insales.ru/images/products/1/6528/377321856/ae74d780089b426004790bd649126424-700x700.jpg,"","","","","","","","",Производитель,Boker,Длина клинка,95 мм,Материал рукояти,"Чёрный G10, сталь",Общая длина,201 мм,Толщина клинка,"3,5 мм",Фирма производитель,Boker Plus,Вес,116 гр,Обработка клинка,Stonewash,Фиксатор клинка,замок Frame-Lock,Дизайн,Jason Stout,,,,,,,,,,,,,,,,,,
